lat,lon,elev,sid
46.87,-113.28,6250,657
46.88,-113.32,4680,604
46.91,-110.85,7410,1008
46.91,-121.48,5410,642
46.93,-110.9,6550,1009
46.93,-121.95,3160,941
46.95,-116.34,3200,752
46.98,-115.03,6050,530
47.04,-121.94,4170,942
47.06,-112.6,5200,413
47.07,-115.96,6110,600
47.07,-121.59,2250,928
47.08,-112.73,6950,414
47.15,-116.27,4510,623
47.16,-121.42,4640,1068
47.18,-114.33,6150,783
47.2,-121.78,3900,1069
47.23,-120.29,5480,832
47.27,-113.76,6330,667
47.27,-121.34,3850,788
47.28,-120.49,5390,507
47.28,-121.47,3230,897
47.28,-121.67,3200,420
47.29,-120.37,4330,841
47.3,-121.6,3810,911
47.33,-121.47,2990,899
47.35,-120.68,4240,352
47.36,-121.57,2920,898
47.37,-121.44,4030,672
